url	md5	Data collection	Data type	Analysis group	Sample	Population	Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204994/ERR204994_2.fastq.gz	5920d2f97997eb5171393419c0886e55	Geuvadis	sequence	mRNA	NA19119	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204828/ERR204828_1.fastq.gz	b575943a3419992b1bbf7f9cb6203405	Geuvadis	sequence	mRNA	NA19129	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204936/ERR204936_1.fastq.gz	6b2dc66277424e332e67871d837f1157	Geuvadis	sequence	mRNA	HG00105	GBR	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204828/ERR204828_2.fastq.gz	a8d4bd2717ac3af3e8f33f2f19fefcd3	Geuvadis	sequence	mRNA	NA19129	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204849/ERR204849_2.fastq.gz	6fb039cf932ec04c74b57c639a70946c	Geuvadis	sequence	mRNA	NA19107	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204934/ERR204934_2.fastq.gz	0745058b2cdbef7bb38ee5b659d89e66	Geuvadis	sequence	mRNA	NA20527	TSI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204854/ERR204854_1.fastq.gz	49695b115d77459f9f20338c54ce4229	Geuvadis	sequence	mRNA	HG00355	FIN	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204994/ERR204994_1.fastq.gz	38516b7a17efeb3d9f713072b2c558c6	Geuvadis	sequence	mRNA	NA19119	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204839/ERR204839_2.fastq.gz	fa12be137cdb5e9dbd784d342c43b48c	Geuvadis	sequence	mRNA	NA12761	CEU	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204936/ERR204936_2.fastq.gz	4c96c8f8dac635c3f3738aecec89fb05	Geuvadis	sequence	mRNA	HG00105	GBR	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204835/ERR204835_2.fastq.gz	c546e88ce935cc6bba5b47151e7055d4	Geuvadis	sequence	mRNA	NA18517	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204913/ERR204913_1.fastq.gz	4e6de0633aba87e82c7c377745f626c3	Geuvadis	sequence	mRNA	NA19143	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204913/ERR204913_2.fastq.gz	95127e801c533f506542bffc87458514	Geuvadis	sequence	mRNA	NA19143	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204849/ERR204849_1.fastq.gz	b51f69cb97f4a1a37293134c26f4264d	Geuvadis	sequence	mRNA	NA19107	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204845/ERR204845_2.fastq.gz	cebe6aa3e1ad563ecf8478511b97ee23	Geuvadis	sequence	mRNA	NA19152	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204841/ERR204841_1.fastq.gz	0dffd16fa6769e0c7f6b9b80da90dcbd	Geuvadis	sequence	mRNA	NA11994	CEU	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204865/ERR204865_2.fastq.gz	696995a627224a1adcb1fe70e03f2f29	Geuvadis	sequence	mRNA	HG00313	FIN	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204839/ERR204839_1.fastq.gz	621f5134b59f73e048c0e46ebe4d2747	Geuvadis	sequence	mRNA	NA12761	CEU	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204835/ERR204835_1.fastq.gz	4eea67366d71587c9d56f31579decfc4	Geuvadis	sequence	mRNA	NA18517	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204877/ERR204877_2.fastq.gz	d1065691067b37bc093568362e392d15	Geuvadis	sequence	mRNA	NA18910	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204990/ERR204990_1.fastq.gz	7518d36a0164d62bf935c4c5a083dd5b	Geuvadis	sequence	mRNA	NA07037	CEU	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204990/ERR204990_2.fastq.gz	b9246fe27c299e7c03d9629b1006d58a	Geuvadis	sequence	mRNA	NA07037	CEU	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204934/ERR204934_1.fastq.gz	73cdb08d5f0dc8ad9a3d510d83906867	Geuvadis	sequence	mRNA	NA20527	TSI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204966/ERR204966_1.fastq.gz	a75f373eaa9c1be2dbf74ed836dda069	Geuvadis	sequence	mRNA	NA19200	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR205/ERR205019/ERR205019_1.fastq.gz	4a5e65db398ebdc27e93a0de32d2df49	Geuvadis	sequence	mRNA	NA18502	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204854/ERR204854_2.fastq.gz	21436b11c722cf77e8343170ac123a31	Geuvadis	sequence	mRNA	HG00355	FIN	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204960/ERR204960_2.fastq.gz	a09423f44362ec59a3e128935429d7a7	Geuvadis	sequence	mRNA	NA07048	CEU	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204865/ERR204865_1.fastq.gz	116057d4c93d2c75bf50499215cf44cf	Geuvadis	sequence	mRNA	HG00313	FIN	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204845/ERR204845_1.fastq.gz	07c2041bc3eff6c23684eb0a3fa7d3b0	Geuvadis	sequence	mRNA	NA19152	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204970/ERR204970_1.fastq.gz	6d347d77a8798fc422881907c05ec6e4	Geuvadis	sequence	mRNA	NA19222	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR205/ERR205008/ERR205008_1.fastq.gz	4a076d9be5382b075c5bf627d009b099	Geuvadis	sequence	mRNA	NA20543	TSI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR205/ERR205008/ERR205008_2.fastq.gz	3c9b83cb8983927c6c127600f4095c68	Geuvadis	sequence	mRNA	NA20543	TSI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204841/ERR204841_2.fastq.gz	b2a5fbd2b3afe5348b7603990f3291d4	Geuvadis	sequence	mRNA	NA11994	CEU	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204877/ERR204877_1.fastq.gz	a29b09927164c04379564ea043e08502	Geuvadis	sequence	mRNA	NA18910	YRI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204977/ERR204977_1.fastq.gz	5c82ea04735e7d287e25d5dbcd061bc3	Geuvadis	sequence	mRNA	NA12775	CEU	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204978/ERR204978_2.fastq.gz	b8b1b89a9f96d614ba86725b4a406472	Geuvadis	sequence	mRNA	NA20527	TSI	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/geuvadis/README_geuvadis_datareuse_statement.md
